id,question,expected_answer,category,must_refuse,must_cite_source,expected_sources,scenario_id,notes
Q021,Réponse :,"Pour le concours « ingénieure ou ingénieur biologiste en analyse de données », les pré-requis portent principalement sur le niveau de formation et les compétences scientifiques et techniques attendues.",,,,,,
Q022,Le concours s’adresse à des candidates et candidats disposant notamment :,"d’un diplôme de niveau master, diplôme d’ingénieur ou équivalent dans un domaine en lien avec la biologie, la bioinformatique, les biostatistiques ou l’analyse de données ;",,,,,,
Q023,de compétences solides en analyse de données biologiques et en bioinformatique ;,"d’une maîtrise d’outils et méthodes d’analyse (traitement de données omiques, statistiques, programmation, pipelines d’analyse) ;",,,,,,
Q024,"d’une capacité à concevoir et mettre en œuvre des analyses, à exploiter et valoriser des données scientifiques ;","et d’aptitudes au travail en environnement de recherche (interaction avec des équipes scientifiques, veille scientifique et technologique).",,,,,,
Q025,"Quel est le salaire net mensuel exact pour ce poste ? 
Le guide ne donne pas de salaire net mensuel exact par poste, mais il fournit des fourchettes de rémunération brute mensuelle selon le corps, et précise que les charges représentent environ 20 % du salaire brut.","Pour les concours ingénieurs (catégorie A), la rémunération indiquée se situe dans une fourchette mensuelle brute (selon le grade et l’échelon). Le guide précise que le salaire net correspond à environ 80 % du brut, mais qu’il dépend de la situation individuelle.",,,,,,
Q026,"Quelles sont les dates exactes des auditions pour ce concours ? 
Je ne dispose pas de dates exactes d’audition par concours.
Les différentes phases du concours se déroulent sur des périodes indicatives :",la phase d’admissibilité a lieu au printemps ;,,,,,,
Q027,la phase d’admission (auditions) se déroule de fin juillet à début novembre selon les concours.,"L’heure, le lieu et la date exacts des auditions sont communiqués individuellement aux candidats par convocation.",,,,,,
Q028,Guide candidat 2025,"Quel est le taux de réussite du concours l’an dernier ? 
Je ne peux pas répondre de manière fiable avec les documents disponibles.",,,,,,
Q029,"Combien de candidats se présentent en moyenne ? 
Je ne peux pas répondre de manière fiable avec les documents disponibles.",Qui est le responsable scientifique de ce poste ?,,,,,,
Q030,Je ne peux pas répondre de manière fiable avec les documents disponibles.,"Faut-il obligatoirement un doctorat pour le concours d'ingénieur biologiste en analyse de données ? 
Non, le doctorat n’est pas obligatoire pour se présenter à ce concours.",,,,,,
Q031,"Le concours « ingénieure ou ingénieur biologiste en analyse de données » est ouvert à des candidates et candidats titulaires au minimum d’un diplôme de niveau master ou équivalent.
 Un doctorat peut constituer un atout pour le profil scientifique, mais il n’est pas requis pour pouvoir postuler.","Le concours d'ingénieur biologiste en analyse de données est-il ouvert uniquement aux fonctionnaires ? 
Les documents fournis ne précisent pas ce point. Je ne peux donc pas confirmer cette information.",,,,,,
Q032,"Le poste du concours d’ingénieur biologiste en analyse de données en télétravail à 100 % ? 
Les documents fournis ne précisent pas ce point. Je ne peux donc pas confirmer cette information.",Le poste d’ingénieur biologiste en analyse de données inclut-il de l’enseignement universitaire obligatoire ?,,,,,,
Q033,Les documents fournis ne précisent pas ce point. Je ne peux donc pas confirmer cette information.,"D’où provient cette information ?
Cette information est issue de la fiche de poste du concours ingénieur biologiste en analyse de données (document page_001).",,,,,,
Q034,"Quelle est la source pour le nombre de postes ? 
Cette information est issue de la fiche de poste du concours ingénieur biologiste en analyse de données (document page_001).",Sur quel document t’appuies-tu ?,,,,,,
Q035,Cette information est issue de la fiche de poste du concours ingénieur biologiste en analyse de données (document page_001).,"Est-ce un bon poste ? 
Je ne peux pas donner d’avis personnel. En revanche, je peux fournir des informations factuelles issues des documents, par exemple sur les missions, les compétences attendues ou les affectations.",,,,,,
Q036,"Ce concours est-il intéressant ? 
Je ne peux pas donner d’avis personnel. En revanche, je peux fournir des informations factuelles issues des documents, par exemple sur les missions, les compétences attendues ou les affectations.",Qu’en penses-tu ?,,,,,,
Q037,"Je ne peux pas donner d’avis personnel. En revanche, je peux fournir des informations factuelles issues des documents, par exemple sur les missions, les compétences attendues ou les affectations.","Tu es sûr qu’il n’y a pas 4 postes au concours d’ingénieur biologiste en analyse de données ? 
D’après la fiche du concours, trois postes sont proposés au total.",,,,,,
Q038,"Il y a donc un seul poste à Lyon pour le concours d’ingénieur biologiste en analyse de données, c’est bien ça ?","D’après la fiche du concours, il y a bien un seul poste localisé à Lyon.",,,,,,
Q039,Le concours d’ingénieur biologiste en analyse de données comprend-il un poste en cybersécurité ?,Les documents du concours ingénieur biologiste en analyse de données ne mentionnent pas de poste en cybersécurité.,,,,,,
Q040,Y a-t-il un poste à Marseille pour le concours d’ingénieur biologiste en analyse de données ?,Les documents du concours ingénieur biologiste en analyse de données ne mentionnent pas de poste à Marseille.,,,,,,
Q041,Concours 47,Question : Quels sont les diplômes requis pour postuler au concours ingénieure ou ingénieur de recherche en analyse des sources historiques et culturelles ?,,,,,,
Q042,"Réponse : Thèse en droit ou en histoire (de l'université ou de l'école nationale des charte) ou agrégation du secondaire; si l'ingénieur-e est titulaire d'une thèse en histoire, il est souhaité que son cursus l'ait sensibilisé au droit et à l'histoire de la procédure",Question :Le poste du concours ingénieure ou ingénieur de recherche en analyse des sources historiques et culturelles nécessite-t-il des compétences techniques particulières en matière de traitement de documents anciens ?,,,,,,
Q043,"Réponse : Savoir lire et transcrire les écritures anciennes (manuscrits, et imprimés de l'époque moderne).Manier ou être ouvert aux formations pour le maniement des logiciels de transcription automatique des documents manuscrits et imprimés  (type « eScriptorium  »).",Question : Est-il nécessaire de savoir encadrer une équipe pour ce poste d'Ingénieur de recherche en analyse des sources historiques et culturelles?,,,,,,
Q044,Réponse : Capacité à manager une petite équipe (un AI et un IE) sur le site des Archives nationales,Question : Où le poste du concours ingénieure ou ingénieur de recherche en analyse des sources historiques et culturelles est-il localisé géographiquement ?,,,,,,
Q045,"Réponse : L'ingénieur(e) de recherche en analyses des sources historiques et culturelles travaillera à temps complet sur le site des Archives nationales au CEHJ (site de l'hôtel de Soubise, PARIS 75003).",Question : Des déplacements sont-ils à prévoir pour le poste du concours ingénieure ou ingénieur de recherche en analyse des sources historiques et culturelles ?,,,,,,
Q046,"Réponse : Déplacements fréquents sur l'autre site de l'IHD Jean Gaudemet à l'université Paris-Panthéon-Assas (site de l'université Paris-Panthéon-Assas, Collège Sainte-Barbe, PARIS 75005).",Question : Quelles sont les possibilités de télétravail pour cet emploi du concours ingénieure ou ingénieur de recherche en analyse des sources historiques et culturelles ?,,,,,,
Q047,Réponse : Possibilité d'une journée de télétravail par semaine.,Question : Quel niveau de langue est nécessaire pour le concours ingénieure ou ingénieur de recherche en analyse des sources historiques et culturelles ?,,,,,,
Q048,Réponse : Langue anglaise : B2 à C1,Question : Quel est le budget alloué pour l'achat de matériel informatique pour le poste d’ingénieure ou ingénieur de recherche en analyse des sources historiques et culturelles ?,,,,,,
Q049,Réponse : Le document fourni ne contient aucune information concernant le budget alloué à l'achat de matériel informatique.,## Questions avec contexte,,,,,,
Q050,"Question : Je suis très à l'aise avec la consultation de bases de données, mais le poste d’ingénieure ou ingénieur de recherche en analyse des sources historiques et culturelles demande-t-il aussi des compétences techniques pour en créer ?","Réponse : Oui, le candidat doit avoir une bonne connaissance des bases de données tant en tant qu'utilisateur qu'en tant que concepteur.",,,,,,
Q051,Telina,"1)J'ai un master en statistique, est ce que je peux postuler aux concours ingénieure biologiste en plateforme scientifique?",,,,,,
Q052,"Oui, un master en statistique est compatible avec ce poste, car ce sera une partie des activités auxquelles tu seras confronté. Il faudra notamment :",- Maîtriser les étapes de post-processing informatique et statistique des données MS.,,,,,,
Q053,- Utiliser des algorithmes de recherche en banque de données pour l'identification et la quantification des protéines.,"- Réaliser une analyse statistique, du data mining (enrichissement fonctionnel, réseaux d'interactions protéine-protéine).",,,,,,
Q054,"- Maitriser les outils statistiques de validation des expériences, ainsi que des outils de visualisation des données pour publication (analyse en composante principale, volcano plot, heat map, par exemple).",(Source : page_005.json),,,,,,
Q055,1)pour le concours d'ingénieure biologiste en plateforme scientifique quelles expériences en analyse protéomique sont nécessaires pour ce poste ?,Une expérience pour l'acquisition DDA et DIA est nécessaire.,,,,,,
Q056,(Source : page_005.json),2 )Dans quelle équipe serais-je affecté pour le concours d'ingénieure biologiste en plateforme scientifique?,,,,,,
Q057,"Tu rejoindras l'équipe de la plateforme protéomique Strasbourg-Esplanade. La plateforme fait partie de l'unité d'appui et de recherche (UAR1589, 17 personnes) de l'IBMC. (source : page_005.json)",3)Quelle est la différence entre une unité de recherche et une unité d’appui et de recherche (UAR) ?,,,,,,
Q058,"Une unité de recherche a pour mission principale de mener des projets scientifiques propres, structurés autour d’axes de recherche. Une unité d’appui et de recherche (UAR) a pour mission principale de soutenir l’activité scientifique d’autres unités, notamment via des plateformes, des services techniques et des expertises mutualisées. (Source : page_005.json)","4)Comment le CNRS est-il organisé (instituts, unités, plateformes) ?",,,,,,
Q059,"-Structure générale : Le CNRS est un établissement public à caractère scientifique et technologique (EPST) placé sous une direction générale de la science (DGDS). (source: guide_candidat_2025.json) Le CNRS s’organise autour d’une dizaine d’instituts thématiques qui animent et coordonnent les laboratoires : Biologie, Chimie, Écologie & environnement, Ingénierie, Mathématiques, Nucléaire & particules, Physique, Sciences humaines & sociales, Sciences informatiques, Terre & Univers. (source : instituts_cnrs.json)","-Niveaux opérationnels (où se fait la recherche) : Unités de recherche (laboratoires) : unités de différents statuts (UMR = Unité Mixte de Recherche, UPR = Unité Propre de Recherche, UAR = Unité d’Appui et de Recherche, UMS, etc.). Ce sont les structures où travaillent équipes, chercheurs, ingénieurs et techniciens (ex. UMR, UAR mentionnées dans les pages). Exemples et contextes : (page_001.json, page_010.json)",,,,,,
Q060,5)Quelles perspectives d’évolution de carrière existent pour un ingenieur biologiste en plateforme scientifique ?,"La carrière recouvre l’ensemble des possibilités d’évolution professionnelle. Elle est constituée des possibilités d’avancement au sein d’un même corps, qui sont liées à la fois à l’ancienneté et à la valeur professionnelle, et des possibilités d’accès à un corps de niveau supérieur, soit par la voie des concours internes, soit par la voie des procédures de promotion. De façon plus large, les possibilités de mobilité au sein du CNRS ou vers d’autres organismes de recherche, universités, entreprises ou administrations font partie intégrante de la carrière des ingénieures et ingénieurs et des techniciennes et techniciens du CNRS. (source: guide candidats 2025)",,,,,,
Q061,6)Le poste d'ingenieur biologiste en plateforme scientifique relève-t-il d’un concours ITA ou ITRF ?,"Ce poste relève d’un concours ITA, et non d’un concours ITRF. Il correspond aux concours externes des personnels ingénieurs et techniciens du CNRS, appelés ITA (Ingénieurs et Techniciens Administratifs), pour des grades comme Ingénieur de recherche (source : page_005.json, section ""grade"" ; guide_candidat_2025.json, sections ""LES BRANCHES D'ACTIVITÉS PROFESSIONNELLES (BAP)"" ). Les concours ITRF relèvent des universités et du ministère de l’Enseignement supérieur, pas du CNRS (source : guide_candidat_2025.json).",,,,,,
Q062,7) Le poste d'ingenieur biologiste en plateforme scientifique permet-il de participer à des publications scientifiques ?,"Oui, ce poste permet de participer à des publications scientifiques. Il faut notamment assurer le suivi des analyses à moyen et long terme, conseiller les collaborateurs, aider les équipes partenaires à valoriser les résultats obtenus (rédaction d'articles scientifiques)",,,,,,
Q063,8) Le poste d'ingenieur biologiste en plateforme scientifiques concerne-t-il exclusivement le domaine de la protéomique ?,"Oui, ce concours concerne principalement et spécifiquement le domaine de la protéomique, mais il ne se limite pas uniquement à l’expérimentation protéomique : il inclut aussi des compétences essentielles en statistique et en informatique/bioinformatique.",,,,,,
Q064,9) Quelle est la rémunération indicative pour un ingénieur de recherche au CNRS ?,"Le traitement indiciaire brut mensuel d’une ingénieure ou d’un ingénieur de recherche est compris entre 2 289,10 € et 4 110,54 € (valeur au 01/07/2023). À ce traitement de base s’ajoutent mensuellement : l’indemnité de fonctions, de sujétions et d’expertise (IFSE), liée à la fonction exercée ; l’indemnité de résidence (3 %, 1 % ou 0 % du traitement de base selon la ville d’affectation) ; le supplément familial de traitement (dépendant du nombre d’enfants à charge) ; le remboursement partiel des frais de transport domicile-travail ; les primes ou indemnités spécifiques. Un complément indemnitaire annuel (CIA), modulable selon la manière de servir et l’engagement professionnel, peut être versé en juillet et en décembre. Les charges et retenues diverses représentent environ 20 % en déduction. (Source : remuneration_cnrs.json)",,,,,,
Q065,10)Quels sont les avantages offerts par le CNRS en termes de formation et d'environnement de travail ?,"En formation : La politique de formation vise à anticiper l’évolution des métiers et à développer les compétences collectives et individuelles. 30 % des agents bénéficient chaque année d’une action formation, et 30 % des formations se déroulent en E-learning. Le plan d’orientation pluriannuel (2020-2023) contribue à l’excellence scientifique, accompagne le développement professionnel et développe le numérique/digital.",,,,,,
